	survived	pclass_1	pclass_2	pclass_3	sex_female	sex_male	age	sibsp	parch	fare	embarked_C	embarked_Q	embarked_S
29	1	1.0	0.0	0.0	0.0	1.0	28.0	0	0	26.55	0.0	0.0	1.0
30	0	1.0	0.0	0.0	0.0	1.0	45.0	0	0	35.5	0.0	0.0	1.0
31	1	1.0	0.0	0.0	0.0	1.0	40.0	0	0	31.0	1.0	0.0	0.0
32	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	164.8667	0.0	0.0	1.0
33	1	1.0	0.0	0.0	1.0	0.0	58.0	0	0	26.55	0.0	0.0	1.0
34	0	1.0	0.0	0.0	0.0	1.0	42.0	0	0	26.55	0.0	0.0	1.0
35	1	1.0	0.0	0.0	1.0	0.0	45.0	0	0	262.375	1.0	0.0	0.0
36	1	1.0	0.0	0.0	1.0	0.0	22.0	0	1	55.0	0.0	0.0	1.0
38	0	1.0	0.0	0.0	0.0	1.0	41.0	0	0	30.5	0.0	0.0	1.0
39	0	1.0	0.0	0.0	0.0	1.0	48.0	0	0	50.4958	1.0	0.0	0.0
41	1	1.0	0.0	0.0	1.0	0.0	44.0	0	0	27.7208	1.0	0.0	0.0
42	1	1.0	0.0	0.0	1.0	0.0	59.0	2	0	51.4792	0.0	0.0	1.0
43	1	1.0	0.0	0.0	1.0	0.0	60.0	0	0	76.2917	1.0	0.0	0.0
44	1	1.0	0.0	0.0	1.0	0.0	41.0	0	0	134.5	1.0	0.0	0.0
45	0	1.0	0.0	0.0	0.0	1.0	45.0	0	0	26.55	0.0	0.0	1.0
47	1	1.0	0.0	0.0	0.0	1.0	42.0	0	0	26.2875	0.0	0.0	1.0
48	1	1.0	0.0	0.0	1.0	0.0	53.0	0	0	27.4458	1.0	0.0	0.0
49	1	1.0	0.0	0.0	0.0	1.0	36.0	0	1	512.3292	1.0	0.0	0.0
50	1	1.0	0.0	0.0	1.0	0.0	58.0	0	1	512.3292	1.0	0.0	0.0
51	0	1.0	0.0	0.0	0.0	1.0	33.0	0	0	5.0	0.0	0.0	1.0
52	0	1.0	0.0	0.0	0.0	1.0	28.0	0	0	47.1	0.0	0.0	1.0
53	0	1.0	0.0	0.0	0.0	1.0	17.0	0	0	47.1	0.0	0.0	1.0
54	1	1.0	0.0	0.0	0.0	1.0	11.0	1	2	120.0	0.0	0.0	1.0
55	1	1.0	0.0	0.0	1.0	0.0	14.0	1	2	120.0	0.0	0.0	1.0
56	1	1.0	0.0	0.0	0.0	1.0	36.0	1	2	120.0	0.0	0.0	1.0
57	1	1.0	0.0	0.0	1.0	0.0	36.0	1	2	120.0	0.0	0.0	1.0
58	0	1.0	0.0	0.0	0.0	1.0	49.0	0	0	26.0	0.0	0.0	1.0
60	0	1.0	0.0	0.0	0.0	1.0	36.0	1	0	78.85	0.0	0.0	1.0
61	1	1.0	0.0	0.0	1.0	0.0	76.0	1	0	78.85	0.0	0.0	1.0
62	0	1.0	0.0	0.0	0.0	1.0	46.0	1	0	61.175	0.0	0.0	1.0
63	1	1.0	0.0	0.0	1.0	0.0	47.0	1	0	61.175	0.0	0.0	1.0
64	1	1.0	0.0	0.0	0.0	1.0	27.0	1	0	53.1	0.0	0.0	1.0
65	1	1.0	0.0	0.0	1.0	0.0	33.0	1	0	53.1	0.0	0.0	1.0
66	1	1.0	0.0	0.0	1.0	0.0	36.0	0	0	262.375	1.0	0.0	0.0
67	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	86.5	0.0	0.0	1.0
68	1	1.0	0.0	0.0	0.0	1.0	45.0	0	0	29.7	1.0	0.0	0.0
71	0	1.0	0.0	0.0	0.0	1.0	27.0	1	0	136.7792	1.0	0.0	0.0
72	1	1.0	0.0	0.0	1.0	0.0	26.0	1	0	136.7792	1.0	0.0	0.0
73	1	1.0	0.0	0.0	1.0	0.0	22.0	0	0	151.55	0.0	0.0	1.0
75	0	1.0	0.0	0.0	0.0	1.0	47.0	0	0	25.5875	0.0	0.0	1.0
76	1	1.0	0.0	0.0	1.0	0.0	39.0	1	1	83.1583	1.0	0.0	0.0
77	0	1.0	0.0	0.0	0.0	1.0	37.0	1	1	83.1583	1.0	0.0	0.0
78	1	1.0	0.0	0.0	1.0	0.0	64.0	0	2	83.1583	1.0	0.0	0.0
79	1	1.0	0.0	0.0	1.0	0.0	55.0	2	0	25.7	0.0	0.0	1.0
81	0	1.0	0.0	0.0	0.0	1.0	70.0	1	1	71.0	0.0	0.0	1.0
82	1	1.0	0.0	0.0	1.0	0.0	36.0	0	2	71.0	0.0	0.0	1.0
83	1	1.0	0.0	0.0	1.0	0.0	64.0	1	1	26.55	0.0	0.0	1.0
84	0	1.0	0.0	0.0	0.0	1.0	39.0	1	0	71.2833	1.0	0.0	0.0
85	1	1.0	0.0	0.0	1.0	0.0	38.0	1	0	71.2833	1.0	0.0	0.0
86	1	1.0	0.0	0.0	0.0	1.0	51.0	0	0	26.55	0.0	0.0	1.0
87	1	1.0	0.0	0.0	0.0	1.0	27.0	0	0	30.5	0.0	0.0	1.0
88	1	1.0	0.0	0.0	1.0	0.0	33.0	0	0	151.55	0.0	0.0	1.0
89	0	1.0	0.0	0.0	0.0	1.0	31.0	1	0	52.0	0.0	0.0	1.0
90	1	1.0	0.0	0.0	1.0	0.0	27.0	1	2	52.0	0.0	0.0	1.0
91	1	1.0	0.0	0.0	0.0	1.0	31.0	1	0	57.0	0.0	0.0	1.0
92	1	1.0	0.0	0.0	1.0	0.0	17.0	1	0	57.0	0.0	0.0	1.0
93	1	1.0	0.0	0.0	0.0	1.0	53.0	1	1	81.8583	0.0	0.0	1.0
94	1	1.0	0.0	0.0	0.0	1.0	4.0	0	2	81.8583	0.0	0.0	1.0
95	1	1.0	0.0	0.0	1.0	0.0	54.0	1	1	81.8583	0.0	0.0	1.0
96	0	1.0	0.0	0.0	0.0	1.0	50.0	1	0	106.425	1.0	0.0	0.0
97	1	1.0	0.0	0.0	1.0	0.0	27.0	1	1	247.5208	1.0	0.0	0.0
98	1	1.0	0.0	0.0	1.0	0.0	48.0	1	0	106.425	1.0	0.0	0.0
99	1	1.0	0.0	0.0	1.0	0.0	48.0	1	0	39.6	1.0	0.0	0.0
100	1	1.0	0.0	0.0	0.0	1.0	49.0	1	0	56.9292	1.0	0.0	0.0
101	0	1.0	0.0	0.0	0.0	1.0	39.0	0	0	29.7	1.0	0.0	0.0
102	1	1.0	0.0	0.0	1.0	0.0	23.0	0	1	83.1583	1.0	0.0	0.0
103	1	1.0	0.0	0.0	1.0	0.0	38.0	0	0	227.525	1.0	0.0	0.0
104	1	1.0	0.0	0.0	1.0	0.0	54.0	1	0	78.2667	1.0	0.0	0.0
105	0	1.0	0.0	0.0	1.0	0.0	36.0	0	0	31.6792	1.0	0.0	0.0
109	1	1.0	0.0	0.0	0.0	1.0	36.0	0	0	26.3875	0.0	0.0	1.0
110	0	1.0	0.0	0.0	0.0	1.0	30.0	0	0	27.75	1.0	0.0	0.0
111	1	1.0	0.0	0.0	1.0	0.0	24.0	3	2	263.0	0.0	0.0	1.0
112	1	1.0	0.0	0.0	1.0	0.0	28.0	3	2	263.0	0.0	0.0	1.0
113	1	1.0	0.0	0.0	1.0	0.0	23.0	3	2	263.0	0.0	0.0	1.0
114	0	1.0	0.0	0.0	0.0	1.0	19.0	3	2	263.0	0.0	0.0	1.0
115	0	1.0	0.0	0.0	0.0	1.0	64.0	1	4	263.0	0.0	0.0	1.0
116	1	1.0	0.0	0.0	1.0	0.0	60.0	1	4	263.0	0.0	0.0	1.0
117	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	56.9292	1.0	0.0	0.0
119	1	1.0	0.0	0.0	0.0	1.0	50.0	2	0	133.65	0.0	0.0	1.0
120	1	1.0	0.0	0.0	0.0	1.0	43.0	1	0	27.7208	1.0	0.0	0.0
122	1	1.0	0.0	0.0	1.0	0.0	22.0	0	2	49.5	1.0	0.0	0.0
123	1	1.0	0.0	0.0	0.0	1.0	60.0	1	1	79.2	1.0	0.0	0.0
124	1	1.0	0.0	0.0	1.0	0.0	48.0	1	1	79.2	1.0	0.0	0.0
126	0	1.0	0.0	0.0	0.0	1.0	37.0	1	0	53.1	0.0	0.0	1.0
127	1	1.0	0.0	0.0	1.0	0.0	35.0	1	0	53.1	0.0	0.0	1.0
128	0	1.0	0.0	0.0	0.0	1.0	47.0	0	0	38.5	0.0	0.0	1.0
129	1	1.0	0.0	0.0	1.0	0.0	35.0	0	0	211.5	1.0	0.0	0.0
130	1	1.0	0.0	0.0	1.0	0.0	22.0	0	1	59.4	1.0	0.0	0.0
131	1	1.0	0.0	0.0	1.0	0.0	45.0	0	1	59.4	1.0	0.0	0.0
132	0	1.0	0.0	0.0	0.0	1.0	24.0	0	0	79.2	1.0	0.0	0.0
133	1	1.0	0.0	0.0	0.0	1.0	49.0	1	0	89.1042	1.0	0.0	0.0
135	0	1.0	0.0	0.0	0.0	1.0	71.0	0	0	34.6542	1.0	0.0	0.0
136	1	1.0	0.0	0.0	0.0	1.0	53.0	0	0	28.5	1.0	0.0	0.0
137	1	1.0	0.0	0.0	1.0	0.0	19.0	0	0	30.0	0.0	0.0	1.0
138	0	1.0	0.0	0.0	0.0	1.0	38.0	0	1	153.4625	0.0	0.0	1.0
139	1	1.0	0.0	0.0	1.0	0.0	58.0	0	1	153.4625	0.0	0.0	1.0
140	1	1.0	0.0	0.0	0.0	1.0	23.0	0	1	63.3583	1.0	0.0	0.0
141	1	1.0	0.0	0.0	1.0	0.0	45.0	0	1	63.3583	1.0	0.0	0.0
142	0	1.0	0.0	0.0	0.0	1.0	46.0	0	0	79.2	1.0	0.0	0.0
143	1	1.0	0.0	0.0	0.0	1.0	25.0	1	0	55.4417	1.0	0.0	0.0
144	1	1.0	0.0	0.0	1.0	0.0	25.0	1	0	55.4417	1.0	0.0	0.0
145	1	1.0	0.0	0.0	0.0	1.0	48.0	1	0	76.7292	1.0	0.0	0.0
146	1	1.0	0.0	0.0	1.0	0.0	49.0	1	0	76.7292	1.0	0.0	0.0
148	0	1.0	0.0	0.0	0.0	1.0	45.0	1	0	83.475	0.0	0.0	1.0
149	1	1.0	0.0	0.0	1.0	0.0	35.0	1	0	83.475	0.0	0.0	1.0
150	0	1.0	0.0	0.0	0.0	1.0	40.0	0	0	0.0	0.0	0.0	1.0
151	1	1.0	0.0	0.0	0.0	1.0	27.0	0	0	76.7292	1.0	0.0	0.0
153	1	1.0	0.0	0.0	1.0	0.0	24.0	0	0	83.1583	1.0	0.0	0.0
154	0	1.0	0.0	0.0	0.0	1.0	55.0	1	1	93.5	0.0	0.0	1.0
155	1	1.0	0.0	0.0	1.0	0.0	52.0	1	1	93.5	0.0	0.0	1.0
156	0	1.0	0.0	0.0	0.0	1.0	42.0	0	0	42.5	0.0	0.0	1.0
158	0	1.0	0.0	0.0	0.0	1.0	55.0	0	0	50.0	0.0	0.0	1.0
159	1	1.0	0.0	0.0	1.0	0.0	16.0	0	1	57.9792	1.0	0.0	0.0
160	1	1.0	0.0	0.0	1.0	0.0	44.0	0	1	57.9792	1.0	0.0	0.0
161	1	1.0	0.0	0.0	1.0	0.0	51.0	1	0	77.9583	0.0	0.0	1.0
162	0	1.0	0.0	0.0	0.0	1.0	42.0	1	0	52.0	0.0	0.0	1.0
163	1	1.0	0.0	0.0	1.0	0.0	35.0	1	0	52.0	0.0	0.0	1.0
164	1	1.0	0.0	0.0	0.0	1.0	35.0	0	0	26.55	1.0	0.0	0.0
165	1	1.0	0.0	0.0	0.0	1.0	38.0	1	0	90.0	0.0	0.0	1.0
167	1	1.0	0.0	0.0	1.0	0.0	35.0	1	0	90.0	0.0	0.0	1.0
169	0	1.0	0.0	0.0	1.0	0.0	50.0	0	0	28.7125	1.0	0.0	0.0
170	1	1.0	0.0	0.0	0.0	1.0	49.0	0	0	0.0	0.0	0.0	1.0
171	0	1.0	0.0	0.0	0.0	1.0	46.0	0	0	26.0	0.0	0.0	1.0
172	0	1.0	0.0	0.0	0.0	1.0	50.0	0	0	26.0	0.0	0.0	1.0
173	0	1.0	0.0	0.0	0.0	1.0	32.5	0	0	211.5	1.0	0.0	0.0
174	0	1.0	0.0	0.0	0.0	1.0	58.0	0	0	29.7	1.0	0.0	0.0
175	0	1.0	0.0	0.0	0.0	1.0	41.0	1	0	51.8625	0.0	0.0	1.0
177	1	1.0	0.0	0.0	0.0	1.0	42.0	1	0	52.5542	0.0	0.0	1.0
178	1	1.0	0.0	0.0	1.0	0.0	45.0	1	0	52.5542	0.0	0.0	1.0
180	1	1.0	0.0	0.0	1.0	0.0	39.0	0	0	211.3375	0.0	0.0	1.0
181	1	1.0	0.0	0.0	1.0	0.0	49.0	0	0	25.9292	0.0	0.0	1.0
182	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	106.425	1.0	0.0	0.0
183	1	1.0	0.0	0.0	0.0	1.0	35.0	0	0	512.3292	1.0	0.0	0.0
185	0	1.0	0.0	0.0	0.0	1.0	42.0	0	0	26.55	0.0	0.0	1.0
186	1	1.0	0.0	0.0	1.0	0.0	55.0	0	0	27.7208	1.0	0.0	0.0
187	1	1.0	0.0	0.0	1.0	0.0	16.0	0	1	39.4	0.0	0.0	1.0
188	1	1.0	0.0	0.0	1.0	0.0	51.0	0	1	39.4	0.0	0.0	1.0
189	0	1.0	0.0	0.0	0.0	1.0	29.0	0	0	30.0	0.0	0.0	1.0
190	1	1.0	0.0	0.0	1.0	0.0	21.0	0	0	77.9583	0.0	0.0	1.0
191	0	1.0	0.0	0.0	0.0	1.0	30.0	0	0	45.5	0.0	0.0	1.0
192	1	1.0	0.0	0.0	1.0	0.0	58.0	0	0	146.5208	1.0	0.0	0.0
193	1	1.0	0.0	0.0	1.0	0.0	15.0	0	1	211.3375	0.0	0.0	1.0
194	0	1.0	0.0	0.0	0.0	1.0	30.0	0	0	26.0	0.0	0.0	1.0
195	1	1.0	0.0	0.0	1.0	0.0	16.0	0	0	86.5	0.0	0.0	1.0
197	0	1.0	0.0	0.0	0.0	1.0	19.0	1	0	53.1	0.0	0.0	1.0
198	1	1.0	0.0	0.0	1.0	0.0	18.0	1	0	53.1	0.0	0.0	1.0
199	1	1.0	0.0	0.0	1.0	0.0	24.0	0	0	49.5042	1.0	0.0	0.0
200	0	1.0	0.0	0.0	0.0	1.0	46.0	0	0	75.2417	1.0	0.0	0.0
201	0	1.0	0.0	0.0	0.0	1.0	54.0	0	0	51.8625	0.0	0.0	1.0
202	1	1.0	0.0	0.0	0.0	1.0	36.0	0	0	26.2875	0.0	0.0	1.0
203	0	1.0	0.0	0.0	0.0	1.0	28.0	1	0	82.1708	1.0	0.0	0.0
205	0	1.0	0.0	0.0	0.0	1.0	65.0	0	0	26.55	0.0	0.0	1.0
206	0	1.0	0.0	0.0	0.0	1.0	44.0	2	0	90.0	0.0	1.0	0.0
207	1	1.0	0.0	0.0	1.0	0.0	33.0	1	0	90.0	0.0	1.0	0.0
208	1	1.0	0.0	0.0	1.0	0.0	37.0	1	0	90.0	0.0	1.0	0.0
209	1	1.0	0.0	0.0	0.0	1.0	30.0	1	0	57.75	1.0	0.0	0.0
210	0	1.0	0.0	0.0	0.0	1.0	55.0	0	0	30.5	0.0	0.0	1.0
211	0	1.0	0.0	0.0	0.0	1.0	47.0	0	0	42.4	0.0	0.0	1.0
212	0	1.0	0.0	0.0	0.0	1.0	37.0	0	1	29.7	1.0	0.0	0.0
213	1	1.0	0.0	0.0	1.0	0.0	31.0	1	0	113.275	1.0	0.0	0.0
214	1	1.0	0.0	0.0	1.0	0.0	23.0	1	0	113.275	1.0	0.0	0.0
215	0	1.0	0.0	0.0	0.0	1.0	58.0	0	2	113.275	1.0	0.0	0.0
216	1	1.0	0.0	0.0	1.0	0.0	19.0	0	2	26.2833	0.0	0.0	1.0
217	0	1.0	0.0	0.0	0.0	1.0	64.0	0	0	26.0	0.0	0.0	1.0
218	1	1.0	0.0	0.0	1.0	0.0	39.0	0	0	108.9	1.0	0.0	0.0
220	1	1.0	0.0	0.0	1.0	0.0	22.0	0	1	61.9792	1.0	0.0	0.0
221	0	1.0	0.0	0.0	0.0	1.0	65.0	0	1	61.9792	1.0	0.0	0.0
222	0	1.0	0.0	0.0	0.0	1.0	28.5	0	0	27.7208	1.0	0.0	0.0
224	0	1.0	0.0	0.0	0.0	1.0	45.5	0	0	28.5	0.0	0.0	1.0
225	0	1.0	0.0	0.0	0.0	1.0	23.0	0	0	93.5	0.0	0.0	1.0
226	0	1.0	0.0	0.0	0.0	1.0	29.0	1	0	66.6	0.0	0.0	1.0
227	1	1.0	0.0	0.0	1.0	0.0	22.0	1	0	66.6	0.0	0.0	1.0
228	0	1.0	0.0	0.0	0.0	1.0	18.0	1	0	108.9	1.0	0.0	0.0
229	1	1.0	0.0	0.0	1.0	0.0	17.0	1	0	108.9	1.0	0.0	0.0
230	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	93.5	0.0	0.0	1.0
231	1	1.0	0.0	0.0	0.0	1.0	52.0	0	0	30.5	0.0	0.0	1.0
232	0	1.0	0.0	0.0	0.0	1.0	47.0	0	0	52.0	0.0	0.0	1.0
233	1	1.0	0.0	0.0	1.0	0.0	56.0	0	1	83.1583	1.0	0.0	0.0
234	0	1.0	0.0	0.0	0.0	1.0	38.0	0	0	0.0	0.0	0.0	1.0
236	0	1.0	0.0	0.0	0.0	1.0	22.0	0	0	135.6333	1.0	0.0	0.0
238	1	1.0	0.0	0.0	1.0	0.0	43.0	0	1	211.3375	0.0	0.0	1.0
239	0	1.0	0.0	0.0	0.0	1.0	31.0	0	0	50.4958	0.0	0.0	1.0
240	1	1.0	0.0	0.0	0.0	1.0	45.0	0	0	26.55	0.0	0.0	1.0
242	1	1.0	0.0	0.0	1.0	0.0	33.0	0	0	27.7208	1.0	0.0	0.0
243	0	1.0	0.0	0.0	0.0	1.0	46.0	0	0	79.2	1.0	0.0	0.0
244	0	1.0	0.0	0.0	0.0	1.0	36.0	0	0	40.125	1.0	0.0	0.0
245	1	1.0	0.0	0.0	1.0	0.0	33.0	0	0	86.5	0.0	0.0	1.0
246	0	1.0	0.0	0.0	0.0	1.0	55.0	1	0	59.4	1.0	0.0	0.0
247	1	1.0	0.0	0.0	1.0	0.0	54.0	1	0	59.4	1.0	0.0	0.0
248	0	1.0	0.0	0.0	0.0	1.0	33.0	0	0	26.55	0.0	0.0	1.0
249	1	1.0	0.0	0.0	0.0	1.0	13.0	2	2	262.375	1.0	0.0	0.0
250	1	1.0	0.0	0.0	1.0	0.0	18.0	2	2	262.375	1.0	0.0	0.0
251	1	1.0	0.0	0.0	1.0	0.0	21.0	2	2	262.375	1.0	0.0	0.0
252	0	1.0	0.0	0.0	0.0	1.0	61.0	1	3	262.375	1.0	0.0	0.0
253	1	1.0	0.0	0.0	1.0	0.0	48.0	1	3	262.375	1.0	0.0	0.0
255	1	1.0	0.0	0.0	1.0	0.0	24.0	0	0	69.3	1.0	0.0	0.0
257	1	1.0	0.0	0.0	1.0	0.0	35.0	1	0	57.75	1.0	0.0	0.0
258	1	1.0	0.0	0.0	1.0	0.0	30.0	0	0	31.0	1.0	0.0	0.0
259	1	1.0	0.0	0.0	0.0	1.0	34.0	0	0	26.55	0.0	0.0	1.0
260	1	1.0	0.0	0.0	1.0	0.0	40.0	0	0	153.4625	0.0	0.0	1.0
261	1	1.0	0.0	0.0	0.0	1.0	35.0	0	0	26.2875	0.0	0.0	1.0
262	0	1.0	0.0	0.0	0.0	1.0	50.0	1	0	55.9	0.0	0.0	1.0
263	1	1.0	0.0	0.0	1.0	0.0	39.0	1	0	55.9	0.0	0.0	1.0
264	1	1.0	0.0	0.0	0.0	1.0	56.0	0	0	35.5	1.0	0.0	0.0
265	1	1.0	0.0	0.0	0.0	1.0	28.0	0	0	35.5	0.0	0.0	1.0
266	0	1.0	0.0	0.0	0.0	1.0	56.0	0	0	26.55	0.0	0.0	1.0
267	0	1.0	0.0	0.0	0.0	1.0	56.0	0	0	30.6958	1.0	0.0	0.0
268	0	1.0	0.0	0.0	0.0	1.0	24.0	1	0	60.0	0.0	0.0	1.0
270	1	1.0	0.0	0.0	1.0	0.0	18.0	1	0	60.0	0.0	0.0	1.0
271	1	1.0	0.0	0.0	0.0	1.0	24.0	1	0	82.2667	0.0	0.0	1.0
272	1	1.0	0.0	0.0	1.0	0.0	23.0	1	0	82.2667	0.0	0.0	1.0
273	1	1.0	0.0	0.0	0.0	1.0	6.0	0	2	134.5	1.0	0.0	0.0
274	1	1.0	0.0	0.0	0.0	1.0	45.0	1	1	134.5	1.0	0.0	0.0
275	1	1.0	0.0	0.0	1.0	0.0	40.0	1	1	134.5	1.0	0.0	0.0
276	0	1.0	0.0	0.0	0.0	1.0	57.0	1	0	146.5208	1.0	0.0	0.0
278	1	1.0	0.0	0.0	0.0	1.0	32.0	0	0	30.5	1.0	0.0	0.0
279	0	1.0	0.0	0.0	0.0	1.0	62.0	0	0	26.55	0.0	0.0	1.0
280	1	1.0	0.0	0.0	0.0	1.0	54.0	1	0	55.4417	1.0	0.0	0.0
281	1	1.0	0.0	0.0	1.0	0.0	43.0	1	0	55.4417	1.0	0.0	0.0
282	1	1.0	0.0	0.0	1.0	0.0	52.0	1	0	78.2667	1.0	0.0	0.0
285	0	1.0	0.0	0.0	0.0	1.0	67.0	1	0	221.7792	0.0	0.0	1.0
286	0	1.0	0.0	0.0	1.0	0.0	63.0	1	0	221.7792	0.0	0.0	1.0
287	0	1.0	0.0	0.0	0.0	1.0	61.0	0	0	32.3208	0.0	0.0	1.0
288	1	1.0	0.0	0.0	1.0	0.0	48.0	0	0	25.9292	0.0	0.0	1.0
289	1	1.0	0.0	0.0	1.0	0.0	18.0	0	2	79.65	0.0	0.0	1.0
290	0	1.0	0.0	0.0	0.0	1.0	52.0	1	1	79.65	0.0	0.0	1.0
291	1	1.0	0.0	0.0	1.0	0.0	39.0	1	1	79.65	0.0	0.0	1.0
292	1	1.0	0.0	0.0	0.0	1.0	48.0	1	0	52.0	0.0	0.0	1.0
294	0	1.0	0.0	0.0	0.0	1.0	49.0	1	1	110.8833	1.0	0.0	0.0
295	1	1.0	0.0	0.0	0.0	1.0	17.0	0	2	110.8833	1.0	0.0	0.0
296	1	1.0	0.0	0.0	1.0	0.0	39.0	1	1	110.8833	1.0	0.0	0.0
298	1	1.0	0.0	0.0	0.0	1.0	31.0	0	0	28.5375	1.0	0.0	0.0
299	0	1.0	0.0	0.0	0.0	1.0	40.0	0	0	27.7208	1.0	0.0	0.0
300	0	1.0	0.0	0.0	0.0	1.0	61.0	0	0	33.5	0.0	0.0	1.0
301	0	1.0	0.0	0.0	0.0	1.0	47.0	0	0	34.0208	0.0	0.0	1.0
302	1	1.0	0.0	0.0	1.0	0.0	35.0	0	0	512.3292	1.0	0.0	0.0
303	0	1.0	0.0	0.0	0.0	1.0	64.0	1	0	75.25	1.0	0.0	0.0
304	1	1.0	0.0	0.0	1.0	0.0	60.0	1	0	75.25	1.0	0.0	0.0
305	0	1.0	0.0	0.0	0.0	1.0	60.0	0	0	26.55	0.0	0.0	1.0
306	0	1.0	0.0	0.0	0.0	1.0	54.0	0	1	77.2875	0.0	0.0	1.0
307	0	1.0	0.0	0.0	0.0	1.0	21.0	0	1	77.2875	0.0	0.0	1.0
308	1	1.0	0.0	0.0	1.0	0.0	55.0	0	0	135.6333	1.0	0.0	0.0
309	1	1.0	0.0	0.0	1.0	0.0	31.0	0	2	164.8667	0.0	0.0	1.0
310	0	1.0	0.0	0.0	0.0	1.0	57.0	1	1	164.8667	0.0	0.0	1.0
311	1	1.0	0.0	0.0	1.0	0.0	45.0	1	1	164.8667	0.0	0.0	1.0
312	0	1.0	0.0	0.0	0.0	1.0	50.0	1	1	211.5	1.0	0.0	0.0
313	0	1.0	0.0	0.0	0.0	1.0	27.0	0	2	211.5	1.0	0.0	0.0
314	1	1.0	0.0	0.0	1.0	0.0	50.0	1	1	211.5	1.0	0.0	0.0
315	1	1.0	0.0	0.0	1.0	0.0	21.0	0	0	26.55	0.0	0.0	1.0
316	0	1.0	0.0	0.0	0.0	1.0	51.0	0	1	61.3792	1.0	0.0	0.0
317	1	1.0	0.0	0.0	0.0	1.0	21.0	0	1	61.3792	1.0	0.0	0.0
319	1	1.0	0.0	0.0	1.0	0.0	31.0	0	0	134.5	1.0	0.0	0.0
321	0	1.0	0.0	0.0	0.0	1.0	62.0	0	0	26.55	0.0	0.0	1.0
322	1	1.0	0.0	0.0	1.0	0.0	36.0	0	0	135.6333	1.0	0.0	0.0
323	0	0.0	1.0	0.0	0.0	1.0	30.0	1	0	24.0	1.0	0.0	0.0
324	1	0.0	1.0	0.0	1.0	0.0	28.0	1	0	24.0	1.0	0.0	0.0
325	0	0.0	1.0	0.0	0.0	1.0	30.0	0	0	13.0	0.0	0.0	1.0
326	0	0.0	1.0	0.0	0.0	1.0	18.0	0	0	11.5	0.0	0.0	1.0
